# DESCRIPTION:
# Reference: Rasmussen, S.O., Bigler, M., Blockley, S.P., Blunier, T., Buchardt, S.L., Clausen, H.B., Cvijanovic, I., Dahl-Jensen, D., Johnsen, S.J., Fischer, H., Gkinis, V., Guillevic, M., Hoek, W.Z., Lowe, J.J., Pedro, J.B., Popp, T., Seierstad, I.K., Steffensen, J.P., Svensson, A.M., Vallelonga, P., Vinther, B.M., Walker, M.J.C., Wheatley, J.J., Winstrup, M., 2014. A stratigraphic framework for abrupt climatic changes during the Last Glacial period based on three synchronized Greenland ice-core records: refining and extending the INTIMATE event stratigraphy. Quaternary Science Reviews 106, 14-28, https://doi.org/10.1016/j.quascirev.2014.09.007
# Data from: https://www.iceandclimate.nbi.ku.dk/data/. Accessed 28 Oct 2022.
# Comment: NGRIP1 and NGRIP2 were combined, double dates were removed, years were converted to kyr

Age [kyr b2k] (GICC05),δ18O [‰],Ca2+ [ppb]
0.03,-34.91,
0.05,-35.11,
0.07,-34.65,
0.09,-34.53,
0.11,-35.29,
0.13,-35.02,
0.15,-35.02,
0.17,-35.78,
0.19,-35.16,
0.21,-35.61,
0.23,-35.12,
0.25,-35.79,
0.27,-35.82,
0.29,-35.36,
0.31,-36.05,
0.33,-35.39,
0.35,-36.14,
0.37,-35.33,
0.39,-35.35,
0.41,-35.72,
0.43,-35.03,
0.45,-35.61,
0.47,-35.83,
0.49,-34.93,
0.51,-35.07,
0.53,-35.87,
0.55,-35.13,
0.57,-34.98,
0.59,-35.04,
0.61,-35.54,
0.63,-34.86,
0.65,-35.25,
0.67,-36.43,
0.69,-35.07,
0.71,-35.2,
0.73,-35.49,
0.75,-35.66,
0.77,-35.4,
0.79,-35.15,
0.81,-35.8,
0.83,-35.34,
0.85,-35.62,
0.87,-35.36,
0.89,-35.59,
0.91,-35.14,
0.93,-35.45,
0.95,-35.61,
0.97,-35.92,
0.99,-34.96,
1.01,-35.24,
1.03,-35.02,
1.05,-35,
1.07,-34.98,
1.09,-35.41,
1.11,-35.73,
1.13,-35.35,
1.15,-35.75,
1.17,-35.45,
1.19,-35.34,
1.21,-35.38,
1.23,-35.27,
1.25,-35.15,
1.27,-35.33,
1.29,-35.33,
1.31,-35.27,
1.33,-35.14,
1.35,-34.69,
1.37,-35.44,
1.39,-35.26,
1.41,-35.14,
1.43,-35.28,
1.45,-34.43,
1.47,-35.78,
1.49,-35.33,
1.51,-35.83,
1.53,-35.38,
1.55,-35.36,
1.57,-35.74,
1.59,-34.46,
1.61,-34.64,
1.63,-35.27,
1.65,-35.86,
1.67,-35.49,
1.69,-35.27,
1.71,-35.8,
1.73,-34.93,
1.75,-35.55,
1.77,-35.9,
1.79,-35.44,
1.81,-35.47,
1.83,-35.37,
1.85,-35.04,
1.87,-35.39,
1.89,-34.49,
1.91,-35.07,
1.93,-34.43,
1.95,-34.71,
1.97,-35.1,
1.99,-35.32,
2.01,-35.11,
2.03,-34.79,
2.05,-35.35,
2.07,-34.95,
2.09,-34.89,
2.11,-35.07,
2.13,-35.46,
2.15,-35.18,
2.17,-36.07,
2.19,-35.76,
2.21,-35.2,
2.23,-35.26,
2.25,-34.84,
2.27,-34.57,
2.29,-34.81,
2.31,-35.11,
2.33,-34.94,
2.35,-35.09,
2.37,-35.26,
2.39,-35.08,
2.41,-34.68,
2.43,-34.86,
2.45,-35.32,
2.47,-35.88,
2.49,-35.48,
2.51,-35.71,
2.53,-34.83,
2.55,-35.24,
2.57,-34.84,
2.59,-35.43,
2.61,-35.06,
2.63,-35.41,
2.65,-35.14,
2.67,-35.14,
2.69,-35.43,
2.71,-35.32,
2.73,-35.12,
2.75,-35.1,
2.77,-34.83,
2.79,-34.91,
2.81,-34.99,
2.83,-34.92,
2.85,-34.63,
2.87,-35.49,
2.89,-35.2,
2.91,-34.98,
2.93,-34.81,
2.95,-34.38,
2.97,-34.81,
2.99,-34.85,
3.01,-34.79,
3.03,-35.45,
3.05,-35.14,
3.07,-34.94,
3.09,-35.14,
3.11,-34.97,
3.13,-34.87,
3.15,-35.04,
3.17,-35.26,
3.19,-34.54,
3.21,-35.25,
3.23,-35.28,
3.25,-34.76,
3.27,-35.54,
3.29,-35.25,
3.31,-35.24,
3.33,-34.89,
3.35,-34.29,
3.37,-34.98,
3.39,-35.42,
3.41,-34.66,
3.43,-34.8,
3.45,-34.67,
3.47,-35.19,
3.49,-35.28,
3.51,-34.75,
3.53,-35.1,
3.55,-35.42,
3.57,-34.77,
3.59,-34.63,
3.61,-35.09,
3.63,-35.18,
3.65,-34.93,
3.67,-34.28,
3.69,-34.71,
3.71,-34.68,
3.73,-34.41,
3.75,-34.65,
3.77,-35.36,
3.79,-35.27,
3.81,-34.78,
3.83,-35.01,
3.85,-35.17,
3.87,-35.36,
3.89,-34.9,
3.91,-35.34,
3.93,-35.16,
3.95,-34.85,
3.97,-35.12,
3.99,-34.96,
4.01,-35.14,
4.03,-34.41,
4.05,-35.2,
4.07,-34.74,
4.09,-35.53,
4.11,-35.14,
4.13,-34.87,
4.15,-35.2,
4.17,-34.72,
4.19,-34.76,
4.21,-34.5,
4.23,-34.78,
4.25,-35.01,
4.27,-35.26,
4.29,-34.92,
4.31,-34.63,
4.33,-34.79,
4.35,-34.75,
4.37,-35,
4.39,-35.47,
4.41,-35.2,
4.43,-34.76,
4.45,-34.06,
4.47,-34.8,
4.49,-35.15,
4.51,-34.83,
4.53,-35.27,
4.55,-34.83,
4.57,-34.21,
4.59,-34.57,
4.61,-34.51,
4.63,-35.05,
4.65,-34.69,
4.67,-35.21,
4.69,-35.02,
4.71,-34.71,
4.73,-34.79,
4.75,-35.09,
4.77,-34.54,
4.79,-34.82,
4.81,-34.66,
4.83,-34.93,
4.85,-34.42,
4.87,-34.89,
4.89,-34.79,
4.91,-34.65,
4.93,-34.55,
4.95,-34.57,
4.97,-34.08,
4.99,-34.92,
5.01,-34.79,
5.03,-34.53,
5.05,-34.8,
5.07,-34.63,
5.09,-34.84,
5.11,-34.64,
5.13,-35.11,
5.15,-34.73,
5.17,-35.05,
5.19,-33.85,
5.21,-34.63,
5.23,-34.9,
5.25,-34.74,
5.27,-34.56,
5.29,-35.27,
5.31,-35.03,
5.33,-34.77,
5.35,-35.39,
5.37,-34.96,
5.39,-34.78,
5.41,-35.1,
5.43,-34.35,
5.45,-34.81,
5.47,-34.91,
5.49,-34.47,
5.51,-34.53,
5.53,-34.7,
5.55,-34.36,
5.57,-34.22,
5.59,-35.06,
5.61,-34.78,
5.63,-35.19,
5.65,-33.88,
5.67,-35.2,
5.69,-35.18,
5.71,-34.51,
5.73,-35.25,
5.75,-34.69,
5.77,-34.71,
5.79,-34.55,
5.81,-34.5,
5.83,-34.71,
5.85,-35.02,
5.87,-34.71,
5.89,-33.95,
5.91,-34.2,
5.93,-34.61,
5.95,-34.91,
5.97,-34.73,
5.99,-34.85,
6.01,-35.03,
6.03,-34.77,
6.05,-34.78,
6.07,-35.49,
6.09,-34.27,
6.11,-35.17,
6.13,-34.71,
6.15,-34.39,
6.17,-34.42,
6.19,-34.89,
6.21,-34.89,
6.23,-34.58,
6.25,-34.6,
6.27,-35.13,
6.29,-34.38,
6.31,-35.2,
6.33,-34.55,
6.35,-34.6,
6.37,-34.86,
6.39,-34.99,
6.41,-34.23,
6.43,-34.62,
6.45,-34.07,
6.47,-34.97,
6.49,-34.32,
6.51,-34.5,
6.53,-34.53,
6.55,-35.01,
6.57,-34.97,
6.59,-34.98,
6.61,-34.45,
6.63,-34.37,
6.65,-34.61,
6.67,-34.57,
6.69,-34.74,
6.71,-34.37,
6.73,-34.49,
6.75,-34.52,
6.77,-34.58,
6.79,-35.12,
6.81,-34.69,
6.83,-34.32,
6.85,-34.36,
6.87,-34.72,
6.89,-34.56,
6.91,-34.97,
6.93,-34.32,
6.95,-34.26,
6.97,-35.11,
6.99,-34.73,
7.01,-34.47,
7.03,-34.82,
7.05,-34.9,
7.07,-34.77,
7.09,-34.4,
7.11,-34.95,
7.13,-34.97,
7.15,-34.36,
7.17,-35.28,
7.19,-34.74,
7.21,-34.68,
7.23,-34.93,
7.25,-34.87,
