entity_id	entity_name	direction
1	BT-1	-1
2	BT-2.1	-1
3	BT-2.2	-1
4	BT-2.3	-1
17	KS08-2	-1
22	PAR06	1
23	PAR07	1
24	PAR08	1
26	PAR24	1
28	Vil-stm9	-1
39	JFYK7	-1
40	MSD	-1
41	MSL	-1
53	TON-1	-1
54	TON-2	-1
57	JAR13	1
62	MWS-1	-1
66	BGC-14	1
70	BA-1b	1
71	BA-1	1
81	Kanaan_MIS5	-1
83	SC02	-1
84	SC03	-1
115	D4_2004	-1
124	LC-1	1
134	7H-2	1
135	7H-3	1
153	XL-1	-1
155	AB-DC-01	-1
157	AB-DC-12	-1
158	AB-DC-09	-1
169	Dim-E3	-1
175	HW-3	1
180	Candela	-1
207	SCH-7	1
213	LR07-E1	-1
218	ME-12	-1
221	XY-2	-1
223	LR07-A8	-1
224	LR07-A9	-1
230	HOL-7	1
235	HOL-Comp	1
236	HOL-10	1
239	BA02	-1
245	FC12-12	-1
246	FC12-14	-1
263	XBL-3	-1
265	XBL-7	-1
266	XBL-26	-1
268	XBL-29	-1
269	XBL-48	-1
280	SPA_126	1
281	SPA_49	1
284	COB-01-02	1
293	M1-5	-1
305	SO-1	1
312	BT-2	1
314	CC-5_2005	-1
315	CC-28_2007	-1
322	FS2_2010	1
353	2N-HR	-1
377	W5	1
397	EXC3	1
398	EXC4	1
425	MN1	-1
429	SO-17A	1
439	X3	-1
441	YB	-1
445	ML2	1
456	SO-2	1
457	1152	1
459	C126-118	1
481	M1-2	-1
485	SB22	-1
486	SB23	-1
488	SB25-1	-1
500	NAR-C	1
508	MAG	1
509	P09PH2	1
513	St8-b	1
523	GB09-03	-1
524	GB11-09	-1
525	HZZ-11	-1
562	CA	-1
566	ocz-6	1
569	CAM-1	-1
578	CT-1	-1
579	CT-5	-1
580	CT-6	-1
582	POM1	1
586	BG611	-1
587	BG6LR	-1
593	ELC-B	1
605	LSF13	1
606	LSF11	1
608	CM_2019	-1
609	CMa	-1
612	PX7_2018	1
614	LG12B	1
615	LG10	1
616	LG25	1
636	BGC-16	1
644	BA-7	1
660	GAS-27	1
662	HUN-14	1
663	SCH-6	1
664	HOL-19	1
666	CC-5_2018	-1
668	CC-28_2018	-1
676	RK05-1	1
677	RK05-3	1
679	WXSM-51	-1
680	WXSM-52	-1
682	BCC-10_2019	1
687	SO-4	1
688	SO-6	1
