#depth [mm]	Age [ka]	ageerr [ka]	d18O [permil]
181.75	102952	356	-8.69
181.5	102964	350	-8.68
181.25	102976	345	-8.66
181	102988	339	-8.72
180.75	102999	333	-8.66
180.5	103011	327	-8.67
180.25	103023	322	-8.7
180	103035	316	-8.7
179.75	103047	310	-8.73
179.5	103058	304	-8.82
179.25	103070	298	-8.54
179	103081	292	-8.6
178.75	103093	287	-8.44
178.5	103105	281	-8.54
178.25	103117	275	-8.49
178	103129	269	-8.48
177.75	103142	264	-8.7
177.5	103156	259	-8.4
177.25	103169	253	-8.56
177	103183	248	-8.56
176.75	103197	243	-8.4
176.5	103211	237	-8.43
176.25	103225	232	-8.44
176	103238	227	-8.82
175.75	103252	221	-8.96
175.5	103266	216	-8.78
175.25	103280	210	-9.18
175	103294	204	-9.25
174.75	103307	199	-8.87
174.5	103321	193	-9.17
174.25	103335	188	-8.91
174	103348	185	-8.56
173.75	103362	182	-8.61
173.5	103376	179	-8.42
173.25	103389	176	-9.08
173	103402	174	-9.09
172.75	103416	171	-8.77
172.5	103429	168	-8.71
172.25	103442	165	-8.83
172	103456	162	-8.88
171.75	103468	159	-8.76
171.5	103481	157	-8.82
171.25	103494	155	-9.08
171	103506	152	-9.03
170.75	103519	150	-8.9
170.5	103532	148	-8.8
170.25	103545	146	-8.94
170	103557	144	-8.95
169.75	103569	142	-8.92
169.5	103581	141	-9.2
169.25	103594	139	-9.06
169	103604	138	-9.2
168.75	103615	137	-9.14
168.5	103626	136	-8.98
168.25	103636	135	-9.22
168	103646	134	-9.05
167.75	103657	133	-9.16
167.5	103667	132	-8.97
167.25	103678	131	-9.19
167	103689	130	-9.26
166.75	103699	129	-9.29
166.5	103709	128	-9.22
166.25	103720	127	-9.47
166	103732	128	-9.64
165.75	103744	129	-9.51
165.5	103756	130	-10.14
165.25	103766	131	-10.52
165	103776	132	-10.75
164.75	103786	133	-10.78
164.5	103796	134	-10.93
164.25	103807	135	-10.8
164	103817	136	-10.95
163.75	103827	138	-10.98
163.5	103837	139	-11.09
163.25	103847	140	-10.7
163	103858	141	-10.69
162.75	103867	143	-10.89
162.5	103877	144	-11.11
162.25	103887	146	-11.25
162	103896	147	-11.25
161.75	103906	149	-11.08
161.5	103916	151	-10.84
161.25	103926	152	-10.69
161	103935	154	-10.75
160.75	103945	155	-10.97
160.5	103955	157	-10.9
160.25	103965	159	-11.01
160	103974	160	-11.05
159.75	103984	162	-11.09
159.5	103993	163	-11.24
159	104012	167	-11.61
158.75	104022	168	-11.47
158.5	104032	170	-11.26
158.25	104042	172	-11.35
158	104051	173	-11.19
157.75	104061	175	-11.04
157.5	104071	177	-11.17
157.25	104081	178	-11.28
157	104094	183	-11.15
156.75	104107	188	-11.19
156.5	104121	192	-11.42
156.25	104132	198	-11.42
156	104144	204	-11.33
155.75	104156	210	-11.73
155.5	104168	216	-11.42
154.75	105603	195	-10.77
154.5	105608	194	-11.15
154.25	105613	193	-11.26
154	105618	192	-11.13
153.75	105624	192	-10.81
153.5	105628	190	-10.74
153.25	105633	189	-10.67
153	105638	188	-10.95
152.75	105643	187	-10.62
152.5	105649	186	-10.54
152.25	105654	186	-10.85
152	105659	185	-11
151.75	105664	184	-11.21
151.5	105669	183	-10.92
151.25	105674	182	-10.78
151	105679	181	-10.65
150.75	105684	180	-10.57
150.5	105690	179	-10.65
150.25	105694	178	-10.95
150	105699	177	-10.67
149.75	105704	176	-10.68
149.5	105709	175	-10.62
149.25	105714	175	-10.78
149	105719	174	-10.24
148.75	105724	173	-10.53
148.5	105729	172	-10.8
148.25	105735	171	-11.12
148	105740	170	-10.89
147.75	105745	169	-10.98
147.5	105750	168	-10.87
147.25	105755	167	-10.75
147	105760	167	-10.86
146.75	105765	166	-10.86
146.5	105771	165	-10.87
146.25	105776	164	-10.68
146	105781	163	-10.93
145.75	105787	163	-11.09
145.5	105792	162	-11.19
145.25	105797	161	-11.23
145	105802	161	-11.11
144.75	105807	160	-10.79
144.5	105813	159	-10.99
144.25	105818	159	-10.73
144	105824	158	-10.56
143.75	105830	158	-10.8
143.5	105835	157	-10.56
143.25	105841	157	-10.52
143	105846	156	-10.59
142.75	105852	156	-10.33
142.5	105858	155	-10.19
142.25	105863	154	-9.94
142	105869	154	-10.02
141.75	105874	153	-9.75
141.5	105880	153	-9.69
141.25	105886	152	-9.43
141	105891	151	-9.57
140.75	105897	151	-9.29
140.5	105902	150	-9.58
140.25	105908	150	-9.56
140	105914	149	-9.04
139.75	105919	149	-9.15
139.5	105925	148	-8.71
139.25	105931	148	-9.07
139	105937	147	-9.16
138.75	105942	147	-9.22
138.5	105948	147	-9.18
138.25	105954	146	-9.26
138	105959	146	-9.55
137.75	105965	145	-9.41
137.5	105970	145	-9.31
137.25	105976	144	-9.38
137	105982	144	-9.29
136.75	105987	144	-9.09
136.5	105993	143	-9.01
136.25	105999	143	-9
136	106005	142	-8.87
135.75	106010	142	-8.94
135.5	106016	142	-8.68
135.25	106022	141	-8.65
135	106028	141	-8.58
134.75	106034	140	-8.63
134.5	106039	140	-8.75
134.25	106044	140	-9.58
134	106049	139	-9.56
133.75	106055	139	-9.69
133.5	106060	139	-9.74
133.25	106066	138	-9.61
133	106072	138	-9.44
132.75	106077	137	-9.58
132.5	106083	137	-9.63
132.25	106088	137	-9.23
132	106093	137	-8.94
131.75	106098	136	-8.54
131.5	106104	136	-8.58
131.25	106109	136	-8.93
131	106114	136	-8.92
130.75	106119	135	-8.78
130.5	106125	135	-8.74
130.25	106130	135	-8.88
130	106135	135	-8.85
129.75	106140	134	-8.69
129.5	106146	134	-9.02
129.25	106151	134	-9.12
129	106157	133	-9.22
128.75	106162	133	-9.29
128.5	106167	133	-9.22
128.25	106172	133	-9.27
128	106178	132	-9.27
127.75	106183	132	-9.25
127.5	106188	132	-9.03
127.25	106193	131	-9
127	106199	131	-9.09
126.75	106204	131	-9.03
126.5	106210	130	-9.16
126.25	106215	130	-9
126	106220	130	-9.06
125.75	106225	130	-8.9
125.5	106230	129	-8.73
125.25	106236	129	-8.52
125	106241	129	-8.59
124.75	106246	129	-8.61
124.5	106251	128	-8.71
124.25	106257	128	-8.64
124	106262	128	-8.72
123.75	106268	128	-8.64
123.5	106273	127	-8.49
123.25	106279	127	-8.65
123	106284	127	-8.55
122.75	106290	127	-8.59
122.5	106295	126	-8.67
122.25	106301	126	-8.73
122	106306	126	-8.86
121.75	106311	126	-8.89
121.5	106317	125	-8.87
121.25	106322	125	-9
121	106327	125	-8.81
120.75	106332	125	-8.59
120.5	106338	124	-8.79
120.25	106343	124	-8.83
120	106349	124	-8.62
119.75	106354	124	-8.73
119.5	106360	123	-8.99
119.25	106365	123	-8.82
119	106370	123	-8.92
118.75	106375	123	-9.04
118.5	106381	123	-9.09
118.25	106386	123	-8.84
118	106391	123	-9.11
117.75	106396	123	-9.06
117.5	106402	123	-9.17
117.25	106407	123	-9.1
117	106413	122	-9.14
116.75	106418	122	-9.31
116.5	106423	122	-9.06
116.25	106429	122	-9.22
116	106434	122	-9.09
115.75	106439	122	-9.15
115.5	106444	122	-9.2
115.25	106450	122	-9.1
115	106455	122	-9.2
